Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
"Girvin & Ferlazzo, P.C.",0.0,,2860988.0,,Debt collection,2018
"Glass Mountain Capital, LLC",0.0,,2778415.0,,Debt collection,2018
"Glasser and Glasser, PLC",0.0,,2794708.0,,Debt collection,2018
"Glenn Associates, Inc.",0.0,,3005229.0,,Debt collection,2018
"Global Asset Agency, Inc.",0.0,,3072371.0,,Debt collection,2018
"Global Asset Management Group, Inc.",0.0,,2850700.0,,Debt collection,2018
"Global Check Recovery, INC",0.0,,3004987.0,,Debt collection,2018
Global Credit & Collection Corporation,0.0,,2780398.0,,Debt collection,2018
Global Financial Services Group,0.0,,2978020.0,,Debt collection,2018
Global Lending Services LLC,0.0,,2846619.0,,Debt collection,2018
Global One Arbitration Inc.,0.0,,2975018.0,,Debt collection,2018
"Global Payments Check Services, Inc.",0.0,,2775709.0,,Debt collection,2018
"Global Portfolio Recovery, LLC",0.0,,2793566.0,,Debt collection,2018
Global Recovery Group,0.0,,2907083.0,,Debt collection,2018
Global Recovery Solutions,0.0,,2823823.0,,Debt collection,2018
"Global Resolution Group, LLC",0.0,,2826602.0,,Debt collection,2018
Global Trust Management LLC,0.0,,2830412.0,,Debt collection,2018
"Go Capital Holdings, LLC",0.0,,2889114.0,,Debt collection,2018
"Gold Star Finance, Inc.",0.0,,2782699.0,,Debt collection,2018
"Goldberg & Peretti, LLC",0.0,,2857335.0,,Debt collection,2018
Golden Green Services LLC,0.0,,2794584.0,,Debt collection,2018
Golden State Collections LLC,0.0,,2775176.0,,Debt collection,2018
Golden Title Loans LLC,0.0,,2864421.0,,Debt collection,2018
"Goodman Frost, PLLC",0.0,,2846498.0,,Debt collection,2018
Goodman Law PLLC,0.0,,2944708.0,,Debt collection,2018
Google Compare Credit Cards Inc.,0.0,,2778482.0,,Debt collection,2018
"Gordon & Wong Law Group, P.C.",0.0,,2823183.0,,Debt collection,2018
"Gordon, Aylworth & Tami, P.C.",0.0,,2821094.0,,Debt collection,2018
Goshen Mortgage LLC,0.0,,2967625.0,,Debt collection,2018
Gotham Collection Services Corp.,0.0,,2974110.0,,Debt collection,2018
"Gragil Associates, Inc.",0.0,,2773069.0,,Debt collection,2018
"Grandeagle Financial, LLC",0.0,,2929133.0,,Debt collection,2018
Grant & Weber,0.0,,2774015.0,,Debt collection,2018
Grant Mercantile Agency,0.0,,2783387.0,,Debt collection,2018
Gravamen Asset Management Group LLC,0.0,,3055944.0,,Debt collection,2018
Great American Finance Co,0.0,,2888797.0,,Debt collection,2018
"Great Lakes Capital Management, LLC",0.0,,2801707.0,,Debt collection,2018
"Greater Collection Agency Bureau, LLC",0.0,,3007998.0,,Debt collection,2018
"Green & Sons Agency, Inc.",0.0,,2774415.0,,Debt collection,2018
"GreenSky, LLC",0.0,,2802603.0,,Debt collection,2018
"Greenback Recovery Group, LLC",0.0,,2835290.0,,Debt collection,2018
Greene & Cooper Collections LLC,0.0,,2796756.0,,Debt collection,2018
Greentree & Associates,0.0,,2779296.0,,Debt collection,2018
"Gregg & Gregg, P.C.",0.0,,3101770.0,,Debt collection,2018
Gregory Hagan,0.0,,2795851.0,,Debt collection,2018
Greystone Alliance LLC,0.0,,2791650.0,,Debt collection,2018
Gross Polowy LLC,0.0,,2816766.0,,Debt collection,2018
Gryphon Corp.,0.0,,2826484.0,,Debt collection,2018
Guglielmo and Associates,0.0,,2917230.0,,Debt collection,2018
"Gurstel Law Firm, P.C.",0.0,,2771079.0,,Debt collection,2018
"H & S Financial, Inc.",0.0,,2806735.0,,Debt collection,2018
"H. Kent Hollins, Attorney at Law, P.A",0.0,,2804036.0,,Debt collection,2018
HANCOCK WHITNEY BANK,0.0,,2795205.0,,Debt collection,2018
"HANNA, LLP | HANNA LAW, PLLC",0.0,,2846903.0,,Debt collection,2018
"HCFS Health Care Financial Services, Inc.",0.0,,2770918.0,,Debt collection,2018
"HEAD MERCANTILE CO., INC.",0.0,,2833937.0,,Debt collection,2018
HEARTLAND PAYMENT SYSTEMS INC,0.0,,2778148.0,,Debt collection,2018
HIGHER EDUCATION STUDENT ASSISTANCE AUTHORITY (HESAA),0.0,,2900286.0,,Debt collection,2018
HOME FINANCE OF AMERICA,0.0,,2772539.0,,Debt collection,2018
HOMESTEAD FUNDING CORPORATION,0.0,,2772528.0,,Debt collection,2018
"HONOR FINANCE, LLC",0.0,,2778866.0,,Debt collection,2018
"HOVG, LLC",0.0,,2784206.0,,Debt collection,2018
"HOVOT Management, LLC",0.0,,3028759.0,,Debt collection,2018
HSBC NORTH AMERICA HOLDINGS INC.,0.0,,2770380.0,,Debt collection,2018
"HUELSON LAW FIRM, LLC",0.0,,2809736.0,,Debt collection,2018
"HUNTINGTON NATIONAL BANK, THE",0.0,,2783258.0,,Debt collection,2018
HYUNDAI CAPITAL AMERICA,0.0,,2773988.0,,Debt collection,2018
Halstatt Search Partners,0.0,,3010921.0,,Debt collection,2018
"Halsted Financial Services, LLC.",0.0,,2786431.0,,Debt collection,2018
"Hameroff Law Group, P.C.",0.0,,3059339.0,,Debt collection,2018
"Hammerman & Hultgren, P.C.",0.0,,2851519.0,,Debt collection,2018
Hampton & Hampton Collections LLC,0.0,,2851970.0,,Debt collection,2018
"Happy Money, Inc.",0.0,,3059393.0,,Debt collection,2018
"Harbor Legal Group, LLC",0.0,,3009519.0,,Debt collection,2018
Harley Davidson Financial Services Inc,0.0,,2895456.0,,Debt collection,2018
"Harmon Law Offices, P.C.",0.0,,2852908.0,,Debt collection,2018
"Harpeth Financial Services, LLC",0.0,,3026383.0,,Debt collection,2018
"Harris & Harris, Ltd.",0.0,,2771154.0,,Debt collection,2018
"Harvard Collections, LLC",0.0,,2773423.0,,Debt collection,2018
Hatfield Portfolio Group LLC.,0.0,,2870536.0,,Debt collection,2018
"Hauge Associates, Inc.",0.0,,2865070.0,,Debt collection,2018
Hawes Klein LLC,0.0,,2831808.0,,Debt collection,2018
"Hawthorn Recovery Services, Inc.",0.0,,3084891.0,,Debt collection,2018
"Hayt Hayt & Landau, P.L. (FL)",0.0,,2832841.0,,Debt collection,2018
"Health Services Asset Management, LLC.",0.0,,3018693.0,,Debt collection,2018
"Healthcare Collections-I, LLC",0.0,,2770612.0,,Debt collection,2018
"Healthcare Management, LLC",0.0,,2772193.0,,Debt collection,2018
"Healthcare Receivables Group, Inc.",0.0,,2769353.0,,Debt collection,2018
"Heavner, Beyers & Mihlar LLC",0.0,,3051839.0,,Debt collection,2018
Helvey & Associates,0.0,,2771338.0,,Debt collection,2018
"Herbert P. Sears Co., Inc.",0.0,,2781492.0,,Debt collection,2018
"Heritage Financial Group, Inc.",0.0,,2897324.0,,Debt collection,2018
Hewitt-Capital,0.0,,2772788.0,,Debt collection,2018
"Hexagon Collection Services, LLC",0.0,,2796702.0,,Debt collection,2018
"Hiday & Ricke, P.A.",0.0,,5700615.0,,Debt collection,2018
Higher Level Processing,0.0,,2847505.0,,Debt collection,2018
Hilco Receivables LLC,0.0,,2817046.0,,Debt collection,2018
Hillcrest Davidson & Assoc,0.0,,2774024.0,,Debt collection,2018
"Hodosh, Lyon & Hammer, PC",0.0,,3014946.0,,Debt collection,2018
Hollis Cobb Associates,0.0,,2786107.0,,Debt collection,2018
Holloway Credit Solutions,0.0,,2769948.0,,Debt collection,2018
"Holst & Boettcher, LLP",0.0,,2930307.0,,Debt collection,2018
Home Credit Corp. Inc.,0.0,,2772767.0,,Debt collection,2018
"Home Loan Center, Inc.",0.0,,2829682.0,,Debt collection,2018
Home Point Financial Corporation,0.0,,2804290.0,,Debt collection,2018
"Hood & Stacy, P.A.",0.0,,2864777.0,,Debt collection,2018
Horizon Financial Management,0.0,,2800412.0,,Debt collection,2018
"Hospital Services, Inc.",0.0,,2812330.0,,Debt collection,2018
"Howard L. Stomel, A Professional Corporation    AKA  Law Offices of  Howard L. Stomel",0.0,,2839219.0,,Debt collection,2018
Hunt & Henriques,0.0,,2791177.0,,Debt collection,2018
"Hunt & Kahn, P.A.",0.0,,3086233.0,,Debt collection,2018
"Hunter Warfield, Inc.",0.0,,2770030.0,,Debt collection,2018
"I.C. System, Inc.",0.0,,5538919.0,,Debt collection,2018
"I.Q. DATA INTERNATIONAL, INC.",0.0,,2770050.0,,Debt collection,2018
IBERIABANK,0.0,,2882293.0,,Debt collection,2018
ICQ Search and Recovery Inc.,0.0,,2812855.0,,Debt collection,2018
"ID Analytics, Inc.",0.0,,3094398.0,,Debt collection,2018
"IMMEDIATE RECOVERY GROUP, INC",0.0,,2830916.0,,Debt collection,2018
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",0.0,,3061877.0,,Debt collection,2018
"INTERIM CAPITAL GROUP, INC.",0.0,,2980185.0,,Debt collection,2018
IOWA STUDENT LOAN LIQUIDITY CORPORATION,0.0,,2838616.0,,Debt collection,2018
IPAC'S Inc.,0.0,,3007070.0,,Debt collection,2018
ISIS SECURITY INFORMATION SYSTEMS INC.,0.0,,2805127.0,,Debt collection,2018
"Ideal Collection Services, Inc.",0.0,,2784264.0,,Debt collection,2018
"Ignite Revenue, Inc.",0.0,,2918411.0,,Debt collection,2018
"Illinois Collection Service, Inc.",0.0,,2820302.0,,Debt collection,2018
Immediate Credit Recovery,0.0,,2772834.0,,Debt collection,2018
Improved Data Services LLC,0.0,,3064429.0,,Debt collection,2018
"Independent Dealers' Advantage, LLC",0.0,,2834325.0,,Debt collection,2018
"Independent Recovery Resources, Inc.",0.0,,2769471.0,,Debt collection,2018
Informative Research,0.0,,2886420.0,,Debt collection,2018
"Innovate Managed Holdings, LLC",0.0,,2771842.0,,Debt collection,2018
"Innovative Collections, LLC",0.0,,3075057.0,,Debt collection,2018
Innovative Credit Solutions,0.0,,2995632.0,,Debt collection,2018
"Innovative Debt Recovery, Inc.",0.0,,2948525.0,,Debt collection,2018
Innovative Strategic Solutions LLC,0.0,,2943306.0,,Debt collection,2018
Innovis,0.0,,2855672.0,,Debt collection,2018
Insight Capital LLC (NV),0.0,,2882350.0,,Debt collection,2018
"Insight Management Partners, LLC",0.0,,2930957.0,,Debt collection,2018
"Insikt, Inc.",0.0,,3023476.0,,Debt collection,2018
Integrated Asset Recovery LLC,0.0,,2978535.0,,Debt collection,2018
Integrated Mediation Solutions LLC,0.0,,2994337.0,,Debt collection,2018
Integrated Recovery Services,0.0,,2788036.0,,Debt collection,2018
"Integrity Funding Ohio, LLC",0.0,,2780124.0,,Debt collection,2018
"Internal Check Systems, LLC",0.0,,2811510.0,,Debt collection,2018
"International Computer Systems, Inc.",0.0,,2774535.0,,Debt collection,2018
"International Recovery Associates, Inc.",0.0,,2919172.0,,Debt collection,2018
"Interstate Credit & Collection, Inc.",0.0,,2885184.0,,Debt collection,2018
"Interstate Recovery Service, Inc.",0.0,,2818487.0,,Debt collection,2018
InvestiNet LLC,0.0,,2813309.0,,Debt collection,2018
"Investment Retrievers, Inc.",0.0,,2789173.0,,Debt collection,2018
"Io, Inc.",0.0,,2794139.0,,Debt collection,2018
Island Finance Puerto Rico,0.0,,2921166.0,,Debt collection,2018
"J J Marshall & Associates, Inc",0.0,,2783536.0,,Debt collection,2018
J Northland Group,0.0,,2840735.0,,Debt collection,2018
"J&D Recovery, Inc.",0.0,,2902365.0,,Debt collection,2018
J&L Collection Services,0.0,,2857023.0,,Debt collection,2018
J. Mark Heldenbrand PC,0.0,,2920159.0,,Debt collection,2018
"J.A. Cambece Law Office, P.C.",0.0,,2902262.0,,Debt collection,2018
"JAMES A. MOUNGER, PLC",0.0,,3071547.0,,Debt collection,2018
"JDJ Investments, INC.",0.0,,2814185.0,,Debt collection,2018
"JH Portfolio Debt Equities, LLC",0.0,,2769680.0,,Debt collection,2018
"JMD,LLC",0.0,,2824255.0,,Debt collection,2018
"JMS Associates, Inc.",0.0,,3020015.0,,Debt collection,2018
"JNR Adjustment Company, Inc",0.0,,2783579.0,,Debt collection,2018
"JP RECOVERY SERVICES, INC.",0.0,,2799230.0,,Debt collection,2018
JPL Recovery Solutions,0.0,,2779336.0,,Debt collection,2018
JPMORGAN CHASE & CO.,0.0,,2769112.0,,Debt collection,2018
"JSZ Financial Co., Inc.",0.0,,2865134.0,,Debt collection,2018
"JTM Capital Management, LLC",0.0,,2786662.0,,Debt collection,2018
"Jacob Law Group, PLLC",0.0,,2776058.0,,Debt collection,2018
"Jacobs, Marsh LLC",0.0,,2799360.0,,Debt collection,2018
"James E. Albertelli, P.A., a Florida professional association",0.0,,2929113.0,,Debt collection,2018
Jana Ferrell & Associates LLC,0.0,,2864579.0,,Debt collection,2018
"Jason A Craig, PC",0.0,,2909736.0,,Debt collection,2018
"Jason Michael Katz, P.C.",0.0,,2847222.0,,Debt collection,2018
"Javitch, Block & Rathbone LLC",0.0,,2816244.0,,Debt collection,2018
"Jeffrey G. Lerman, P.C.",0.0,,2851222.0,,Debt collection,2018
"Jeffrey R. Lankenau, Attorney at Law",0.0,,3001075.0,,Debt collection,2018
"Jenkins, Wagnon & Young, P.C.",0.0,,2817258.0,,Debt collection,2018
"Jerold Kaplan Law Office, P.C.",0.0,,3059024.0,,Debt collection,2018
Jet Lending Inc.,0.0,,2860477.0,,Debt collection,2018
"Jim Bottin Enterprises, Inc",0.0,,2779904.0,,Debt collection,2018
"John C. Heath, Attorney at Law, PLLC",0.0,,2813632.0,,Debt collection,2018
Johnson Mark LLC,0.0,,2791313.0,,Debt collection,2018
"Jon Barry and Associates, Inc.",0.0,,2769654.0,,Debt collection,2018
"Jon D. Curtis, Attorney at Law",0.0,,2950669.0,,Debt collection,2018
"Jonathan Neil & Associates, Inc",0.0,,2866643.0,,Debt collection,2018
"Jones Law Group, LLC",0.0,,2901257.0,,Debt collection,2018
"Jones, Robin & Robin, P.C.",0.0,,2957816.0,,Debt collection,2018
"Jormandy, LLC",0.0,,2968005.0,,Debt collection,2018
"Joseph M. Tobin, PC",0.0,,2785129.0,,Debt collection,2018
Justice Finance Company,0.0,,2804695.0,,Debt collection,2018
Jvs group,0.0,,2798948.0,,Debt collection,2018
Jzanus Ltd.,0.0,,2944672.0,,Debt collection,2018
K A P S & CO (USA) LLC,0.0,,2789931.0,,Debt collection,2018
"KAHRS LAW OFFICES, PA",0.0,,3076084.0,,Debt collection,2018
KBR INC DBA RASH CURTIS & ASSOCIATES,0.0,,2773019.0,,Debt collection,2018
KEYCORP,0.0,,2775846.0,,Debt collection,2018
"KILOWATT FINANCIAL, LLC, A SPRUCE FINANCE COMPANY",0.0,,2860455.0,,Debt collection,2018
"KLS Financial Services, Inc",0.0,,3070180.0,,Debt collection,2018
"KMT Group, LLC",0.0,,2797832.0,,Debt collection,2018
KONDAUR CAPITAL CORPORATION,0.0,,2913200.0,,Debt collection,2018
"Kansas Counselors of Kansas City, Inc.",0.0,,2819844.0,,Debt collection,2018
Kashia Services,0.0,,2783215.0,,Debt collection,2018
"Kass Shuler, P.A.",0.0,,2856594.0,,Debt collection,2018
Kauntey Mediation Services LLC,0.0,,3069455.0,,Debt collection,2018
"Kehoe Financial Group, LLC",0.0,,2943653.0,,Debt collection,2018
"Keith A. Ringelspaugh, P.A.",0.0,,3067180.0,,Debt collection,2018
"Keith D. Weiner & Associates Co., L.P.A.",0.0,,2806967.0,,Debt collection,2018
"Kelsting Group, Inc.",0.0,,2770579.0,,Debt collection,2018
"Kenneth J. Breitbart & Assoc., PA",0.0,,2868664.0,,Debt collection,2018
"Kenneth, Eisen & Associates, Ltd.",0.0,,2808795.0,,Debt collection,2018
"Key 2 Recovery, Inc.",0.0,,2779295.0,,Debt collection,2018
"Key Management Company of Missouri, LLC.",0.0,,3078510.0,,Debt collection,2018
KeyBridge Medical Revenue Management,0.0,,2804770.0,,Debt collection,2018
"Keynote Consulting, Inc.",0.0,,2781407.0,,Debt collection,2018
Keystone Credit Collections Inc.,0.0,,2906013.0,,Debt collection,2018
"Kimball, Tirey & St. John LLP",0.0,,2786832.0,,Debt collection,2018
Kings Credit Services,0.0,,2777015.0,,Debt collection,2018
Kingston Data & Credit International Inc.,0.0,,2920397.0,,Debt collection,2018
"Kinum, Inc.",0.0,,2771613.0,,Debt collection,2018
Kirk Law Group PLLC dba Kirk Law,0.0,,2924951.0,,Debt collection,2018
Kirkland Asset Management LLC,0.0,,2780122.0,,Debt collection,2018
Kirkland Financial LLC,0.0,,2792294.0,,Debt collection,2018
"Kirschbaum, Nanney, Keenan & Griffin, P.A.",0.0,,2969683.0,,Debt collection,2018
Kirschenbaum & Phillips P.C,0.0,,2779566.0,,Debt collection,2018
Knight Adjustment Bureau,0.0,,2791316.0,,Debt collection,2018
Kohn Law Firm S.C.,0.0,,2844243.0,,Debt collection,2018
"Komyatte & Casbon, P.C.",0.0,,2784071.0,,Debt collection,2018
Koster's Cash Loans,0.0,,2790378.0,,Debt collection,2018
"Kramer & Frank, P.C.",0.0,,2785849.0,,Debt collection,2018
"Kross, Lieberman & Stone, Inc.",0.0,,2780829.0,,Debt collection,2018
L.B.Gray LLC A Debt Collection Agency,0.0,,2854966.0,,Debt collection,2018
"LAKEVIEW LOAN SERVICING, LLC",0.0,,2862243.0,,Debt collection,2018
LAMONT HANLEY & ASSOCIATES INC,0.0,,2788444.0,,Debt collection,2018
"LANDMARK ACCOUNTS, INC",0.0,,2904407.0,,Debt collection,2018
LANIER COLLECTIONS AGENCY AND SERVICES INC,0.0,,2769441.0,,Debt collection,2018
LAW OFFICE OF HALL AND ASSOCIATES,0.0,,3092369.0,,Debt collection,2018
"LAW OFFICES OF CRYSTAL MORONEY, P.C.",0.0,,2857842.0,,Debt collection,2018
LAW OFFICES OF MICHAEL K. SIPES,0.0,,2916047.0,,Debt collection,2018
"LCO Financial Services, LLC",0.0,,2921641.0,,Debt collection,2018
LCS FINANCIAL SERVICES CORPORATION,0.0,,2787813.0,,Debt collection,2018
"LD Holdings Group, LLC",0.0,,2923986.0,,Debt collection,2018
"LDF Holdings, LLC",0.0,,2806414.0,,Debt collection,2018
LEXISNEXIS,0.0,,2816155.0,,Debt collection,2018
LJ Ross Associates,0.0,,2772700.0,,Debt collection,2018
"LK Manley, Inc",0.0,,2936979.0,,Debt collection,2018
"LLOYD'S PLAN, INC.",0.0,,2950802.0,,Debt collection,2018
"LMS Services, Inc.",0.0,,2896182.0,,Debt collection,2018
LOAN TO LEARN,0.0,,2770467.0,,Debt collection,2018
LOBEL FINANCIAL CORPORATION,0.0,,2880277.0,,Debt collection,2018
LPSG,0.0,,2914315.0,,Debt collection,2018
"LTD Financial Services, LP",0.0,,2773920.0,,Debt collection,2018
Lafayette General Medical Center,0.0,,2933591.0,,Debt collection,2018
"Lake Area Collections, LLC",0.0,,2924391.0,,Debt collection,2018
Landis Law,0.0,,3000101.0,,Debt collection,2018
Laurens Financial Services Inc,0.0,,3093287.0,,Debt collection,2018
Law Firm of Karl Frankovitch,0.0,,2803947.0,,Debt collection,2018
Law Office of Charles G. McCarthy Jr. & Assoc.,0.0,,2839593.0,,Debt collection,2018
"Law Office of Cynthia Hitt Kent, LLC",0.0,,2915044.0,,Debt collection,2018
"Law Office of David A. Bader, LLC",0.0,,2883501.0,,Debt collection,2018
Law Office of Harris & Zide,0.0,,2887817.0,,Debt collection,2018
"Law Office of James R. Vaughan, P.C.",0.0,,2969110.0,,Debt collection,2018
Law Office of John E. Lindner P.A.,0.0,,2949164.0,,Debt collection,2018
Law Office of Linda Strumpf,0.0,,2774808.0,,Debt collection,2018
Law Office of Marsha D. Holzhauer P.C.,0.0,,2804021.0,,Debt collection,2018
"Law Office of Michael J. Scott, PC",0.0,,2787331.0,,Debt collection,2018
Law Office of Ralph L. Sims,0.0,,2965437.0,,Debt collection,2018
"Law Office of Rory W. Clark, APLC",0.0,,3031869.0,,Debt collection,2018
Law Office of Stephen P. Lamb,0.0,,2841552.0,,Debt collection,2018
Law Office of Steven A. Booska,0.0,,2901812.0,,Debt collection,2018
"Law Offices Howard Lee Schiff, P.C.",0.0,,2807740.0,,Debt collection,2018
Law Offices of Donald R Conrad P.C.,0.0,,2857251.0,,Debt collection,2018
"Law Offices of Hayt, Hayt & Landau, LLC",0.0,,2784519.0,,Debt collection,2018
Law Offices of Lawrence P. Zamzok,0.0,,3017777.0,,Debt collection,2018
Law Offices of Les Zieve,0.0,,2927993.0,,Debt collection,2018
"Law Offices of Marvin S. C. Dang, LLC",0.0,,2932620.0,,Debt collection,2018
"Law Offices of Robert A. Schuerger Co., LPA",0.0,,2798843.0,,Debt collection,2018
"Law Offices of Robert J. Colclough, III",0.0,,2781002.0,,Debt collection,2018
"Law Offices of Thomas B. Peterman, P.A.",0.0,,2826111.0,,Debt collection,2018
"Law Offices of Timothy E. Baxter & Associates, P.C.",0.0,,2810928.0,,Debt collection,2018
Law Offices of Timothy M. Sullivan,0.0,,3060105.0,,Debt collection,2018
Law offices of Steven Cohen LLC,0.0,,3090083.0,,Debt collection,2018
Lazega & Johanson LLC,0.0,,2854185.0,,Debt collection,2018
"Leading Edge Recovery Solutions, LLC",0.0,,2803006.0,,Debt collection,2018
Legal Action Bureau Inc,0.0,,2937896.0,,Debt collection,2018
"Legal Recovery Law Offices, Inc",0.0,,2834014.0,,Debt collection,2018
LendUp Loans LLC,0.0,,2776056.0,,Debt collection,2018
Lending Club Corp,0.0,,2770276.0,,Debt collection,2018
LendingPoint Holdings LLC,0.0,,2840943.0,,Debt collection,2018
LendingUSA,0.0,,6157120.0,,Debt collection,2018
Lendmark Financial Services,0.0,,2779481.0,,Debt collection,2018
"Lendmart, LLC",0.0,,2804393.0,,Debt collection,2018
"Leopold & Associates, LLC",0.0,,2868070.0,,Debt collection,2018
"Levy and Associates, LLC",0.0,,2901558.0,,Debt collection,2018
"Lewis, McDonnell & Associates",0.0,,3019752.0,,Debt collection,2018
"Liberty Holdings, LLC",0.0,,2777013.0,,Debt collection,2018
